word,sum_scores
"1,",0.0906433
"na,",0.0745614
"0,",0.071441
"control,",0.070442
stage,0.0690236
normal,0.0676393
lung,0.0676393
control,0.0634328
cancer,0.0566298
"healthy,",0.0543767
"4,",0.0529716
"cancer,",0.0529716
"months,",0.050995
2,0.0469108
"normal,",0.0469108
refractory,0.0469108
anemia,0.0469108
breast,0.0428177
"years,",0.0428177
1,0.0428177
"10,",0.0400517
"disease,",0.0385572
"2,",0.0354691
excess,0.0353535
colonic,0.0353535
healthy,0.0347682
32,0.0347682
progressive,0.0347682
heart,0.0347682
"3,",0.0347682
late,0.0307018
metastatic,0.0307018
surgical,0.0307018
time,0.0307018
"metastasis,",0.0307018
ileal,0.0290055
blasts,0.0290055
"n/a,",0.0290055
non-cancerous,0.0290055
"carcinoma,",0.0290055
resection,0.0278515
"lymphoma,",0.0278515
involvement,0.0271318
"23,",0.0271318
"none,",0.0261194
t-lbl,0.0185185
"hgd,",0.0185185
"(pbf),",0.0160819
