key,cat
age at diagnosis,no
age at diagnosis (years),no
age unit,no
age at sample (months),no
age group,no
age_years,no
patient age (yrs),no
age (y),no
age in years,no
donor_age,no
age (years),no
age (months),no
age.brain,no
age (weeks),no
gestational age (weeks),no
age (yrs),no
patient age,no
age.blood,no
sample age,no
age at surgery,no
age,no
age months,no
age(years),no
stage,no
pathological_stage,no
growth/development stage,no
growth stage,no
pathological stage,no
development stage,no
tumor stage,no
cell line name,no
cell line type,no
cell lines,no
cell lineage,no
cell line/clone,no
tumour cell line used for conditioning medium,no
dendritic cell lineages,no
insect cell line,no
cell line,no
parental cell line,no
tumor cell line,no
primary cell line,no
donor cell line,no
injected cell line,no
coriell cell line repository identifier,no
growth pattern of cell line,no
cell line passage,no
tissue/cell line,no
origin of a cell line,no
tissue/cell lines,no
cell line background,no
source cell line,no
cell line source tissue,no
cell line origin,no
cell line tissue source,no
cell line source,no
cell line source age,no
cell line source gender,no
cell line source ethnicity,no
disease,no
primary disease,no
disease exposure,no
disease/cell type,no
disease type,no
disease subtype,no
disease model,no
disease-state,no
meibomian gland disease state,no
subject's disease state,no
disease/treatment status,no
disease status of patient,no
disease stage,no
disease progression,no
status of disease,no
clinical characteristic/disease status,no
disease development,no
diseasestatus,no
stage of disease,no
disease outcome,no
duration of disease,no
disease_status,no
advanced disease stage,no
disease state (host),no
disease_state,no
disease severity,no
histology (disease state),no
stage of disease (inss),no
advanced disease state,no
disease status,no
patient disease status,no
disease phase,no
diseased,no
disease state,no
extent of disease,no
disease_specific_survival_years,no
disease-free survival (dfs),no
disease_free_survival_years,no
disease-free interval (months),no
disease free interval (days),no
disease specific survival (years),no
disease free interval (months),no
age at disease onset,no
disease free survival in months,no
disease free survival time (months),no
disease-free survival (dfs) event,no
disease progression (event),no
disease_specific_survival_event,no
disease relapse (event),no
disease_free_survival_event,no
strain,no
strain or line,no
strain/line,no
strain description,no
strain source,no
strain/genotype,no
strain/ecotype,no
strains,no
strain name,no
host strain,no
strain details,no
strain phenotype,no
host strain background,no
background mouse strain,no
strain/background,no
background/strain,no
background strains,no
strain background (bloomington stock number),no
strain [background],no
strain background,no
strain/accession,no
siv strain,no
toxoplasma parasite strain,no
viral strain,no
infection (virus strain),no
recipient strain,no
substrain,no
parent strain,no
parental strain,no
strain number,no
maternal strain,no
human cytomegalovirus strain,no
scanstrain,no
strain fgsc number,no
strain (donor),no
bacteria strain,no
virus strain,no
mouse strain,no
