key,values
age (1#pfu_1),21
age (1#pvu_1),26
sampling age,38
gestational age at delivery,40
age (1#pfu_2),42
average age (days after birth),47
age at rc,51.33
cell line source age,56
age (at specimen collection),67.73
age_dx,68
sac age (wks),12/16/17
age of diagnosis (year),"""--"", 34, 57, 32, 35"
age at onset (years),"""-"", na, 47, 48, 78"
age of onset,"""=-n/a"", 20yr, -, 17 yr, 25 yr"
age at diagnosis (months),"<18m, 1, >18m, 6, 4"
age of trees,">30, 3, 9, 2, 1"
infant age,0 day
ageing at 29 c in days,"2000, 2, 14"
culture age (days),"0, 40, 20, 7, 42"
age (year),"0, 68, 55, 59, 54"
donor age (years),"0.35, 54, 50, 82, 92"
host age (yr),"0.50-0.66, 24, 26, 25, 55"
age in vitro,"0h, 24h, 48h, 72h"
age of the mice,1 month old
age at vaccination,"1 month, newborn"
age (bin),"1, 0, na"
age bin,"1, 0, na"
agebin,"1, 0, na"
age (postnatal days),"1, 14, 2007"
age (day),"1, 15, 5, 50, 30"
agegrp,"1, 2"
agestatus,"1, 2, na"
age and tissue,10 days-old seedlings.
age at start of experiment,"10 wks, 8 wks"
age (days old),"10, 52, 66, 68, 57"
age of ffpe block (years),"11, 10, 12, 13"
age of ffpe tissue,"11, 10, 12, 21, 19"
conidial age,12 days
age months,"12, 1.5, 6, 3, 20"
vitis (41528 population) - age,13 month
age (at the end of treatment),13 wks
estimated age,130 days gestation
age harvested (days),"14, 12, 16, 17, 24"
age of mice (wk),"14, 15, 12"
age at surgery,"14, 8, 6-8 weeks, 71, 65"
age in days at diagnosis,"1429, 6306, 6733"
age of sampling,15 years
mean age in days,"150, 141.5, 77.25"
fetus age,"16.1 weeks, 13.6 weeks, 13.9 weeks, 11 weeks, 9.6 weeks"
age (weeks of gestation),"17, 16, 19"
age/weight,170g
gestional age,"18 weeks, 17 weeks"
serum culture age,"180 days, 40 days, 60 days"
age post partum,"19 days + 24 hrs, 8 days, 3 days, 19 days, 13 days"
age at sacrifice,19 weeks old
mother's age (years),"19, 18, 20, 22, 26"
postnatal age,"2 months, 17 days, 20-38 years, 25 years, 31 years"
gender and age,2 year old caucasian female
plant age,"2-year old vine, 19 days, 28 days old, 20 days, 30 days"
age (in days post-partum),"20 dpp, 17 dpp"
age at harvest,20 weeks
proband age,"20-38 years, 25 years, 31 years, 22 years"
age_at_blooddraw,"20, 19, 18, 21, 22"
cell culture age,"21 days, week 27, week 53, week 4, week 8"
culture age,"21 days, week 27, week 53, week 4, week 8"
biofilm age,"21 hours, 30 hours, 34 hours, 24 hours"
age of epilepsy duration (yr),"21, 29"
hoechst- (viable) cells. age,22 days of age
age of plants,"23 months, 3 years"
age of mouse,"23 weeks, 35 days, na"
age (in years),"23, 26, 28, 21, 25"
age at collection months,"24, 13, 12, 49, 37"
donor age (y),"24, 28, 23, 30"
age (weeks),"26, 12, 6, 8/12/2017, 9"
age at examination,"26, 29, 46, 30, 28"
maternal age (year),"27, 22, 23, 24, 32"
age of gestation,"28 weeks, 25 weeks"
ageatdraw,"28, 27, 38, 29, 36"
age of the clone,"29 months, 24 months"
paternal age,"29, 32, n/a, 31, 26"
gestational age (w+d),"29+6, 29+2, 40+2"
age group (years),"3 (>15 yrs), 2 (5-14 yrs), 1 (0-4 yrs), n/a"
treatment age,3 days post-germination
age of rat,"3 months, 30 months"
mouse age,"3 weeks, p56, 2 days, xenograft cells injected at 6-10 weeks, 8 weeks"
age at biopsy,"3 years, 42, 52, 76, 7 years"
animal age,"30 days embryo, 2 yr, 8-12 weeks, 2-months"
age in years,"30, 25, 23, 43, 32"
current age (2007),"30, 40, 24, 29, 66"
maternal age (yrs),"32, 29, 28, 35, 33"
age at sacrifice (days),"35, 50"
gestational age (wk),"37, 38, 36, 34, 32"
gestational age,"37, 38, 39, 14wk, e16"
age at collection,"38 weeks, 53, 58, 65, 54"
age of woman [years],"38, 34, 35, 27, 32"
gestational age (wks),"39, 39, 38, 39.43, 39.71"
age at 1st diagnosis,"39, 44, 52, 47, 36"
diagnosis age,"39, 45, 47, 49, 54"
age time point,"4 hours, 12 hours, 2 hours, 28 hours after nutrient removal, 14h timepoint"
mouse model age,4 weeks
taqman pool by age,"4, 5, 2, 6, 3"
age of epilepsy onset (yr),"4, 7, 13, 14, 2"
age at infection,"4.6, 11.5, 8.1, 5 weeks, 9.5"
age at tumor,40 days
gestational age (weeks),"40, 39, 38, 41, 26"
