values,values1,values_celltype,values_disease,values_treatment
21,"21,","adult pancreatic endocrine cells, adult pancreatic exocrine-duct cells",1,6
26,"26,","aggressive, non-aggressive, metastatic, parental",12,42
38,"38,","all, keratinocytes and fibroblasts, neurons (neun+), non-neurons (neun-, predominantly glia), bmsc, nrvcm",15,"""-"", na, 1 nm, 100nm,"
40,"40,",b cell,"""-"", positive lead test",": adchemanthracycline, : adhtamoxifen, : no treatment"
42,"42,","btic, snb19, nsc, c17.2","""-"", yes","""--"", 00 weeks, 12 weeks, 52 weeks"
47,"47,","cd133/2 positive, cd133/2 negative","[er+/pr+]her2-, refractory anemia (ra), refractory anemia with ringed sideroblasts (rars), refractory anemia with excess blasts 2 (raeb2), refractory anemia with excess blasts 1 (raeb1)","""-"", copaxone, betaferon, tysabri, rebif44"
51.33,"51.33,","cd25+ treg, cd25- non-treg, cd25-","0, 1","""=+ (responder)"", ""=- (non responder)"""
56,"56,","cd34+cd45ra-, hematopoietic stem cells (hsc1), multipotent progenitor cells (mpp), common myeloid progenitor cells (cmp), granulocyte-monocyte progenitors (gmp)","0, 1, na, 10, 0.67","(not applicable), 50 ug/ml"
67.73,"67.73,","dec205+, cd11b+, cd11b, esam+, cd11b esam-dec205 esam-","0, 24, 23, 37, 40","(not applicable), oxidized ldl"
68,"68,","dfci 121, dfci 123, primary mouse embryonic fibroblasts e13.5, burkitts lymphoma (raji) and breast adenocarcinoma (mcf-7), hesc derived pancreatic endoderm, isolated conventional and plasmacytoid dendritic cells","0, 462, 122, 546, na","0 d, 1 d, 23 d, 3, 7"
12/16/17,"12/16/17,",endothelial,"0, unknown, 1","0 h, 12 h, 1 h, 6 h, 3 h"
"""--"", 34, 57, 32, 35","""--"", 34, 57, 32, 35,","fetal liver, bone marrow, pancreatic islet beta cells, spleen","1, 0","0 hr, 3 hr, 9 hr, 14 hr"
"""-"", na, 47, 48, 78","""-"", na, 47, 48, 78,","hodgkin's lymphoma, cultured lncap cells, fibroblast, cervical cancer, myelogenous leukemia","1, 2","0, 1"
"""=-n/a"", 20yr, -, 17 yr, 25 yr","""=-n/a"", 20yr, -, 17 yr, 25 yr,",immortalized human bronchial epithelial cell,"1, 2, nafld, nash, normal control","0, 1000"
"<18m, 1, >18m, 6, 4","<18m, 1, >18m, 6, 4,","macrophages, ntreg, itreg, ex-itreg","1, 4, 2, 4s, 3","0, 2, 4, 3, 1"
">30, 3, 9, 2, 1",">30, 3, 9, 2, 1,","mixed, epithelioid, na, the rat-derived c6 glioma cell line was obtained from the american type culture collection (manassas, va). the cells were routinely maintained in dmem supplemented with l-glutamine, 1% penicillin/streptomycin solution, and 10% fbs in a humidified co2 incubator at 37 __c., neuroblastoma","1, not evaluated, 6, 3, 0","0.5, 4, 0"
0 day,"0 day,","monocyte derived dendritic cells (mddcs), enucleated mii oocytes, t lymphocyte",1.7yrs.,"0mm, 1mm, 50mm, 5mm, 25mm"
"2000, 2, 14","2000, 2, 14,","mouse mammary epithelial cells, human embryonic stem cells (hescs), circulating tumor cells, csf, mouse embryonic fibroblast (mef)","10, na, 0.42,1, 3","0nm, 500nm, 50um"
"0, 40, 20, 7, 42","0, 40, 20, 7, 42,","naêève t-cells from spleen under th17 polarizing conditions, naêève t-cells from spleen under th2 polarizing conditions, naêève t-cells from spleen activated by anti-cd3 and anti-cd28, ilc2s were sorted from the mln of il-25-treated mice, bone marrow derived dendritic cells stimulated with lps for 6hrs","107 months, 28 months, 32 months, 2 months, 3 months","0nm, 6um, 30um, 60um"
"0, 68, 55, 59, 54","0, 68, 55, 59, 54,","oocyte, embryo, embryoid body, embryonics stem cell, liver","2, cancer, benign, relapse, remission","1 day, 3 days"
"0.35, 54, 50, 82, 92","0.35, 54, 50, 82, 92,","osteosarcoma, ewing sarcoma, neuroblastoma (metastatic), chondrosarcoma, fibrosarcoma","21, 23, 22, 1, 9","1 day, 6h, 12h, 24h, 48h"
"0.50-0.66, 24, 26, 25, 55","0.50-0.66, 24, 26, 25, 55,","primary macrophages (derived from blood monocytes), human foreskin fibroblast (hff)","3, 2, 4, 1","1 days, 3 days, 5 days, .25 days, 24h"
"0h, 24h, 48h, 72h","0h, 24h, 48h, 72h,",repo-gal4/uas-uprt,"4, 9, 7, 1","1, 2"
1 month old,"1 month old,","skin, few fibrous strands","41, 35, 30, 37, 32","1, 5, 2006"
"1 month, newborn","1 month, newborn,","sorted cd4+ conventional t cells from spleen and lymph nodes, sorted cd4+ regulatory t cells from spleen and lymph nodes, teff, treg, tfh","aav-mediated insertional mutagenesis, h22y, heterozygous for d303n, t50m, a230t","1, 8"
"1, 0, na","1, 0, na,","spheroid cells, adherent cells","alive, dead","100 nm testosterone, none"
"1, 0, na","1, 0, na,","tumorous, normal, naive (facs sorted primary human), plasma cell (facs sorted primary human), memory (facs sorted primary human)","allergic, healthy","100, 0"
