values,values1
21,"21,"
26,"26,"
38,"38,"
40,"40,"
42,"42,"
47,"47,"
51.33,"51.33,"
56,"56,"
67.73,"67.73,"
68,"68,"
12/16/17,"12/16/17,"
"""--"", 34, 57, 32, 35","""--"", 34, 57, 32, 35,"
"""-"", na, 47, 48, 78","""-"", na, 47, 48, 78,"
"""=-n/a"", 20yr, -, 17 yr, 25 yr","""=-n/a"", 20yr, -, 17 yr, 25 yr,"
"<18m, 1, >18m, 6, 4","<18m, 1, >18m, 6, 4,"
">30, 3, 9, 2, 1",">30, 3, 9, 2, 1,"
0 day,"0 day,"
"2000, 2, 14","2000, 2, 14,"
"0, 40, 20, 7, 42","0, 40, 20, 7, 42,"
"0, 68, 55, 59, 54","0, 68, 55, 59, 54,"
"0.35, 54, 50, 82, 92","0.35, 54, 50, 82, 92,"
"0.50-0.66, 24, 26, 25, 55","0.50-0.66, 24, 26, 25, 55,"
"0h, 24h, 48h, 72h","0h, 24h, 48h, 72h,"
1 month old,"1 month old,"
"1 month, newborn","1 month, newborn,"
"1, 0, na","1, 0, na,"
"1, 0, na","1, 0, na,"
"1, 0, na","1, 0, na,"
"1, 14, 2007","1, 14, 2007,"
"1, 15, 5, 50, 30","1, 15, 5, 50, 30,"
"1, 2","1, 2,"
"1, 2, na","1, 2, na,"
10 days-old seedlings.,"10 days-old seedlings.,"
"10 wks, 8 wks","10 wks, 8 wks,"
"10, 52, 66, 68, 57","10, 52, 66, 68, 57,"
"11, 10, 12, 13","11, 10, 12, 13,"
"11, 10, 12, 21, 19","11, 10, 12, 21, 19,"
12 days,"12 days,"
"12, 1.5, 6, 3, 20","12, 1.5, 6, 3, 20,"
13 month,"13 month,"
13 wks,"13 wks,"
130 days gestation,"130 days gestation,"
"14, 12, 16, 17, 24","14, 12, 16, 17, 24,"
"14, 15, 12","14, 15, 12,"
"14, 8, 6-8 weeks, 71, 65","14, 8, 6-8 weeks, 71, 65,"
"1429, 6306, 6733","1429, 6306, 6733,"
15 years,"15 years,"
"150, 141.5, 77.25","150, 141.5, 77.25,"
"16.1 weeks, 13.6 weeks, 13.9 weeks, 11 weeks, 9.6 weeks","16.1 weeks, 13.6 weeks, 13.9 weeks, 11 weeks, 9.6 weeks,"
"17, 16, 19","17, 16, 19,"
170g,"170g,"
"18 weeks, 17 weeks","18 weeks, 17 weeks,"
"180 days, 40 days, 60 days","180 days, 40 days, 60 days,"
"19 days + 24 hrs, 8 days, 3 days, 19 days, 13 days","19 days + 24 hrs, 8 days, 3 days, 19 days, 13 days,"
19 weeks old,"19 weeks old,"
