description,treatment_protocol_ch1,treatment_protocol_ch2,extract_protocol_ch1,extract_protocol_ch2
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
,Pretreatment bone marrow or peripheral blood mononuclear cells from patients with newly diagnosed acute myeloid leukemia (AML),,"Mononuclear cells from bone marrow (BM) or peripheral blood (PB) were enriched by Ficoll gradient centrifugation. Total RNA was isolated using the RNeasy Mini Kit (Qiagen, Hilden, Germany). cDNA preparation and  in vitro transcription were performed according to standard Affymetrix protocols.",
