key,cat
age at diagnosis,age
age at diagnosis (years),age
age unit,age
age at sample (months),age
age group,age
age_years,age
patient age (yrs),age
age (y),age
age in years,age
donor_age,age
age (years),age
age (months),age
age.brain,age
age (weeks),age
gestational age (weeks),age
age (yrs),age
patient age,age
age.blood,age
sample age,age
age at surgery,age
age,age
age months,age
age(years),age
stage,age
pathological_stage,age
growth/development stage,age
growth stage,age
pathological stage,age
development stage,age
tumor stage,age
cell line name,no
cell line type,no
cell lines,no
cell lineage,no
cell line/clone,no
tumour cell line used for conditioning medium,no
dendritic cell lineages,no
insect cell line,no
cell line,no
parental cell line,no
tumor cell line,no
primary cell line,no
donor cell line,no
injected cell line,no
coriell cell line repository identifier,no
growth pattern of cell line,no
cell line passage,no
tissue/cell line,no
origin of a cell line,no
tissue/cell lines,no
cell line background,no
source cell line,no
cell line source tissue,no
cell line origin,no
cell line tissue source,no
cell line source,no
cell line source age,no
cell line source gender,no
cell line source ethnicity,no
disease,no
primary disease,no
disease exposure,no
disease/cell type,no
disease type,no
disease subtype,no
disease model,no
disease-state,no
meibomian gland disease state,no
subject's disease state,no
disease/treatment status,no
disease status of patient,no
disease stage,no
disease progression,no
status of disease,no
clinical characteristic/disease status,no
disease development,no
diseasestatus,no
stage of disease,no
disease outcome,no
duration of disease,no
disease_status,no
advanced disease stage,no
disease state (host),no
disease_state,no
disease severity,no
histology (disease state),no
stage of disease (inss),no
advanced disease state,no
disease status,no
patient disease status,no
disease phase,no
diseased,no
disease state,no
extent of disease,no
disease_specific_survival_years,no
disease-free survival (dfs),no
disease_free_survival_years,no
disease-free interval (months),no
disease free interval (days),no
disease specific survival (years),no
disease free interval (months),no
age at disease onset,no
disease free survival in months,no
disease free survival time (months),no
disease-free survival (dfs) event,no
disease progression (event),no
disease_specific_survival_event,no
disease relapse (event),no
disease_free_survival_event,no
strain,no
strain or line,no
strain/line,no
strain description,no
strain source,no
strain/genotype,no
strain/ecotype,no
strains,no
strain name,no
host strain,no
strain details,no
strain phenotype,no
host strain background,no
background mouse strain,no
strain/background,no
background/strain,no
background strains,no
strain background (bloomington stock number),no
strain [background],no
strain background,no
strain/accession,no
siv strain,no
toxoplasma parasite strain,no
viral strain,no
infection (virus strain),no
recipient strain,no
substrain,no
parent strain,no
parental strain,no
strain number,no
maternal strain,no
human cytomegalovirus strain,no
scanstrain,no
strain fgsc number,no
strain (donor),no
bacteria strain,no
virus strain,no
mouse strain,no
mice strain,no
plant strain,no
parasite strain,no
tissuer type,no
tissue_detail,no
tissuetype,no
cell line source tissue,no
cell/tissue type,no
tissue,no
tissue-type,no
original tissue,no
tissue/cell lines,no
primary tissue,no
tumor/tissue type,no
tissue lineage,no
sample type,no
cell tissue,no
harvested tissue type,no
tissue or cell type,no
organ/tissue type,no
tissue isolated,no
tissue/cell type,no
tissue typ,no
tissue/cell line,no
host tissue,no
tissues,no
tissue type,no
tissue_surgery,no
cell line tissue source,no
tissue or cells,no
tissue/cell,no
tissue diagnosis,no
tissue (organ),no
sample tissue type,no
tissuet type,no
source tissue type,no
tissue_type,no
sample tissue of origin,no
tissue_source,no
tissue derivation,no
tumor tissue source,no
tissue_depot,no
tissue/origin,no
source tissue,no
tissue source site,no
organ/tissue,no
tissue/source,no
tissue of origin,no
tissue origination,no
tissue site,no
tissue provider,no
tissue-of-origin,no
tissue morphology,no
original tissue source,no
tissue_biological,no
tissue location,no
tissue compartment,no
tissue origin of primary cultures,no
tissue source,no
tissue origin,no
tissue derived,no
stage/tissue,no
tissue & age,no
age of ffpe tissue,no
tissue status,no
day of tissue dissection,no
tissue collection time,no
tissue stage,no
age at tissue collection (days),no
tissue age,no
tissue condition,no
tissue state,no
tissue/development stage,no
tissue and developemental stage,no
tissue archive method,no
tissue separation,no
tissue preservation,no
tissue archive,no
tissue preserve method,no
tissue processing,no
tissue storage,no
tissue preparation,no
tissue harvest,no
tissue collection,no
tissue harvest methods,no
tissue collection method,no
tissue extraction,no
tissue part,no
tissue subtype,no
tissue sub-type,no
tissue/tumor subtype,no
tissuebank,no
tissue bank,no
tissue weigth,no
tissue_mg,no
tissue section,no
tissue subregion,no
tissue region,no
disease/treatment status,no
treatment2_in vivo treatment,no
treatment stage,no
treatments,no
treatment agent,no
treatment_molecule,no
lighttreatment,no
treatment result,no
treatment_2,no
treatment_1,no
tissue treatment,no
cactus host treatment,no
oxygen treatment,no
tap treatment,no
inducer treatment,no
treatment/exposure,no
order of treatment,no
treatment_dose,no
treatment dosage,no
treatment_category,no
globin treatment,no
dht treatment,no
treatment protocol,no
art treatment,no
treatment 1,no
dox treatment,no
treatment 2,no
response to treatment,no
ms treatment,no
chx treatment,no
uv treatment,no
dopamine-agonists treatment,no
treatment before sampling,no
l-dopa treatment,no
c local treatment,no
treatment,no
response to tzd treatment,no
nrti treatment status,no
tamoxifen-citrate treatment,no
treatment status,no
pbmc treatment,no
treatment description,no
in vitro treatment,no
hormone treatment,no
treatment type,no
hormonal treatment,no
animal treatment,no
stress treatment,no
ligand treatment,no
c systemic treatment,no
treatment_response,no
genotype/treatment,no
lenolidamide treatment,no
treatments comments,no
culture conditions/treatment,no
experimental treatment,no
heat treatment,no
treatment dose,no
