key,cat
age at diagnosis,no
age at diagnosis (years),no
age unit,no
age at sample (months),no
age group,no
age_years,no
patient age (yrs),no
age (y),no
age in years,no
donor_age,no
age (years),no
age (months),no
age.brain,no
age (weeks),no
gestational age (weeks),no
age (yrs),no
patient age,no
age.blood,no
sample age,no
age at surgery,no
age,no
age months,no
age(years),no
stage,no
pathological_stage,no
growth/development stage,no
growth stage,no
pathological stage,no
development stage,no
tumor stage,no
cell line name,no
cell line type,no
cell lines,no
cell lineage,no
cell line/clone,no
tumour cell line used for conditioning medium,no
dendritic cell lineages,no
insect cell line,no
cell line,no
parental cell line,no
tumor cell line,no
primary cell line,no
donor cell line,no
injected cell line,no
coriell cell line repository identifier,no
growth pattern of cell line,no
cell line passage,no
tissue/cell line,no
origin of a cell line,no
tissue/cell lines,no
cell line background,no
source cell line,no
cell line source tissue,no
cell line origin,no
cell line tissue source,no
cell line source,no
cell line source age,no
cell line source gender,no
cell line source ethnicity,no
disease,disease
primary disease,disease
disease exposure,disease
disease/cell type,disease
disease type,disease
disease subtype,disease
disease model,disease
disease-state,disease
meibomian gland disease state,disease
subject's disease state,disease
disease/treatment status,disease
disease status of patient,disease
disease stage,disease
disease progression,disease
status of disease,disease
clinical characteristic/disease status,disease
disease development,disease
diseasestatus,disease
stage of disease,disease
disease outcome,disease
duration of disease,disease
disease_status,disease
advanced disease stage,disease
disease state (host),disease
disease_state,disease
disease severity,disease
histology (disease state),disease
stage of disease (inss),disease
advanced disease state,disease
disease status,disease
patient disease status,disease
disease phase,disease
diseased,disease
disease state,disease
extent of disease,disease
disease_specific_survival_years,disease
disease-free survival (dfs),disease
disease_free_survival_years,disease
disease-free interval (months),disease
disease free interval (days),disease
disease specific survival (years),disease
disease free interval (months),disease
age at disease onset,disease
disease free survival in months,disease
disease free survival time (months),disease
disease-free survival (dfs) event,disease
disease progression (event),disease
disease_specific_survival_event,disease
disease relapse (event),disease
disease_free_survival_event,disease
strain,no
strain or line,no
strain/line,no
strain description,no
strain source,no
strain/genotype,no
strain/ecotype,no
strains,no
strain name,no
host strain,no
strain details,no
strain phenotype,no
host strain background,no
background mouse strain,no
strain/background,no
background/strain,no
background strains,no
strain background (bloomington stock number),no
strain [background],no
strain background,no
strain/accession,no
siv strain,no
toxoplasma parasite strain,no
viral strain,no
infection (virus strain),no
recipient strain,no
substrain,no
parent strain,no
parental strain,no
strain number,no
maternal strain,no
human cytomegalovirus strain,no
