words
"[""age"",""gestational"",""surgery"",""(y)"",""years)""]"
"[""age"",""(yrs)"",""treatment"",""collection"",""(y)""]"
"[""(years)"",""diagnosis"",""days"",""cell"",""patient""]"
"[""diagnosis"",""patient"",""plant"",""biopsy"",""(wks)""]"
"[""age"",""onset"",""current"",""months"",""blood""]"
"[""(years)"",""(days)"",""(yr)"",""maternal"",""(in""]"
"[""age"",""(months)"",""sampling"",""dx"",""days)""]"
"[""age"",""draw"",""onset"",""65"",""block""]"
"[""age"",""culture"",""time"",""commenced"",""ma4""]"
"[""age"",""start"",""death"",""donor"",""mice""]"
