Term,key_class,values
ips cell line,cell line,41
cell line source age,cell line,56
cell line initiation date,cell line,"1982, 1988, 1980, 1981"
cell line karyotype,cell line,"46,xx, 46,xy, 49,xxxxy, 47,xxx"
cell line passage,cell line,"49-50, 40, 7"
cell line number,cell line,"69, 11, 64, 71, 12"
es cell line,cell line,"a2lox, r1 esc, otx2-/- esc, ky1.1, e14 esc"
cell line background,cell line,"a549, beas-2b, cfpac1, pc3, imr90"
cell line reference,cell line,"andrews pw (1984) retinoic acid induces neuronal differentiation of a cloned human embryonal carcinoma cell line in vitro. dev biol 103285-293, brown et al. 1997, sugarman bj, et al. (1985) recombinant human tumor necrosis factor-alphaeffects on proliferation of normal and transformed cells in vitro. science 230943-945. pubmed3933111"
cell line origin,cell line,"breast epithelium, breast cancer, mammary, erythroid myeloid lymphoid (eml), bone metastasis of prostate cancer"
cell line/genotype,cell line,by4741 (wt)
atcc cell line,cell line,"cal27, a253"
cell line source ethnicity,cell line,caucasian
cell line characteristics,cell line,"cell line derived from t47d that contain one copy of mmtv promoter, the cell line has been observed to undergone minor changes after long-term culture, except for the presence of dense granules in the nucleoli (uzman, foley et al. 1966). finally, the ccrf-cem cell line has been reported to manifest autocrine catalase activity which participates to its mechanisms of growth and progression (sandstrom and buttke 1993)."
cell line or clinical sample,cell line,"clinical specimen, cell line"
cell line manufacturer,cell line,clontech
cell line/cell type,cell line,"ctb primary cells, hesc h7 cell line, tbpc colony, tbpc monolayer"
huh7 cell line,cell line,differentiated hepatoma from a male
cell line tissue source,cell line,"embyronic hypothalamus, adult hypothalamus"
host cell line,cell line,"erc, hek293, a385, aag2 cells, vero"
hybrid cell line,cell line,"es-e-hybrid line 3, es-e-hybrid line 22, es-e-hybrid line 10"
cell line nih code,cell line,es03
cell line of origin,cell line,"foxd3 conditional knockout c57bl/6 escs, dual mirna reporter v6.5 escs, fibroblasts from ts patient t7643, embryonic stem cellsescs (r cells), epiblast cellsepic (dy cells)"
es cell line type,cell line,"geminin overexpression, geminin knockdown"
primary cell line,cell line,"gm00739b, glioblastoma stem-like cells, kidney asmcs derived from the renin cell lineage"
coriell cell line,cell line,"gm07044, gm12157, gm12002, gm12920, gm07038"
cell line (coriell id),cell line,"gm17201, gm17102, gm17104, gm17735, gm17207"
background cell line,cell line,"hek-293, ahr null hepatocytes (ahr-/- hepa), mda-mb-231, a673 ewing cell line, wild-type 293 cells"
cell line specificity,cell line,"hek293-t-rex inducible cell line expressing znf143-ha, hek293-t-rex inducible cell line expressing znf143"
cell line specifics,cell line,"hela s3 stably expressing h3.1-flag-ha, hela s3 stably expressing h3.3-flag-ha"
cell line,cell line,"hela, hepg2, mcf7, mcf-7, c2c12"
insect cell line,cell line,"helicoverpa zea cell line (hzam1) isolated from pupal ovarian tissue by mcintosh and ignoffo (1983), helicoverpa zea cell line (hzam1)"
cell line id,cell line,"hmvecdlyad-der, 262, 334, 391, 395"
fibrosarcoma cell line,cell line,ht1080
cell line conditioning,cell line,"in vivo, in vitro"
