key,cat
age group,age
age at diagnosis yrs,age
age postnatal day,age
age at mi,age
age (y),age
agebin,age
age continuous,age
age of ffpe block (years),age
ageatdraw yrs,age
age at sacrifice days,age
age (at weaning),age
age on study,age
agegrp,age
age or tumor stage,age
age at diagnosis (years),age
agent compound added,age
age at dx years,age
age of source,age
age 8pfc 8,age
age 2pfc 2,age
age of the mice,age
age post-hatch,age
age of patient at diagnosis years,age
age,age
age of patient,age
age (yr-old),age
agent #2,age
age at disease onset,age
agent #1,age
age bin,age
age at initial pathologic diagnosis,age
age yr,age
age at death,age
agent,age
age(month),age
age (day),age
age began smoking in years,age
age at draw,age
age Patiicipant,age
age units,age
age (years),age
age (bin),age
agent post-transduction,age
age at onset,age
age at drawing,age
ageaccelerationdsvscontrols,age
age years,age
agent (carbon source),age
agent dose during exposure phase,age
agender,age
age at draw years,age
age of subjects,age
age (yr),age
age of embryo,age
age at stroke surgery,age
age of forest,age
age of mice,age
age at vaccination,age
age 3pfc 3,age
age in days at diagnosis,age
agent during exposure phase,age
age when treatment starts,age
age (years at surgery),age
age 7pfc 7,age
agegroupatsampledraw,age
age average,age
agent (pi3k inhibitor),age
age of donor,age
age at tissue collection (days),age
age at onset (years),age
agedx,age
age instar,age
ageatrecruitment,age
age at rc,age
agenotype,age
agent dose,age
age day,age
age of trees,age
age-at-examination,age
age of epilepsy duration yr,age
age at ga therapy onset baseline blood sampling,age
age of ipi yr/mo,age
age menarche,age
age at 1st diagnosis,age
age at diagnosisyrs,age
age of fly in days post eclosion,age
agent treatment,age
age at sample months,age
age weight,age
age months,age
age at start of experiment,age
age at diagnosis (year),age
age quit smoking,age
age at blood sample collection,age
age at biopsy,age
age-at-onset,age
age hours after egg laying,age
age at surgery yrs,age
age when sampled,age
agent dose (mg/l),age
age in vitro,age
age impairment,age
age at diagnosis in years,age
age of mouse,age
ageyears,age
age postnatal days,age
age y,age
age in months,age
age tx,age
ageyears/gender,age
age category,age
age at prostatectomy years,age
age at diagnosis,age
age (days),age
age of mice wk,age
agent/stress,age
agent batch,age
age of  culture,age
age at the time of surgery,age
age mother y,age
age at diagnosis months,age
age 9pfc 9,age
age acceleration vs controls,age
ageaccelerationresidual,age
age at diagonosis (years),age
agent/dose,age
age(years),age
agent stimulus,age
ageunit,age
age corrected,age
age at dx,age
ageatdraw,age
age.year,age
age at baseline,age
age lifestage,age
age at diagnosis days,age
agegroup,age
age at the timeof infection,age
age at harvest,age
age (yrs),age
age of plant,age
age at 2nd diagnosis,age
age (months),age
age at menarche,age
age days,age
agent/injection,age
age 5pfc 5,age
age year,age
age stadard error of the mean,age
age of animals,age
age/sex,age
age at start therapy,age
"age at diagnosis, years",age
"age of examination, not current age",age
age harvested days,age
age at rna harvest,age
age in days post-partum,age
age class,age
age at treatment,age
age at start,age
age: 8 week old gender,age
age.at.diagnosis,age
age at diagnosis year,age
age 4pfc 4,age
ageaccelerationdsvscontrolsotherregions,age
age at operation,age
age at rna isolation,age
age at examination,age
age at excision years,age
age at ifn-beta therapy onset (baseline blood sampling),age
ageaccelerationdsvscontrolsinfrontalcortex,age
agedecade,age
ageatdiagnosis,age
age of culture,age
age (mos),age
age and sex,age
age cat,age
ageatsampling,age
age range,age
age 6pfc 6,age
age 1pfu 2,age
age 1pfu 1,age
age (year),age
age (in years),age
age of onset,age
age at blooddraw,age
age of blood draw,age
age at infection,age
age at diagnosis (y),age
age yrs,age
age classification,age
age unit,age
age of diagnosis (year),age
age at diagnosis (months),age
age at enrollment,age
age of punction,age
ageaccelerationdsvscontrolsincrbm,age
age at sacrafice,age
age of sample,age
age (pn postnatal days),age
age  (months),age
age of epilepsy onset yr,age
age(year),age
age at radiation,age
age at specimen collection,age
age (days old),age
age 1pfc 1,age
age at metastases,age
age sex,age
"age at study entry, in yrs",age
age at collection (months),age
age at primary diagnosis,age
age/disease timepoint,age
age at collection months,age
agents,age
age mouse,age
age at diag,age
age menopause,age
agedays,age
age induced days,age
ageweeks,age
age at dx (years),age
age at tumor,age
age of diagnosis,age
age at study start,age
age at biopsy date,age
ageyear,age
aget,age
age at surgeryyrs,age
agent time,age
age at diagnosis years,age
age of plants,age
age at collection,age
age at death (in years),age
age 1 b,age
age first preg,age
age at blood withdrawal,age
age at death (years),age
age at sampling,age
age (after birth),age
agemonths,age
age at injection,age
age baby days,age
age at collection mo,age
age of ffpe tissue,age
age standard deviation,age
age acceleration vs controls in children,age
age at sacrifice,age
age description,age
age/gender,age
"age, yrs",age
age weeks,age
age class at diagnosis infant < 4 yrs,age
age in month,age
age month,age
age (weeks),age
age: 17 weeks; mouse ID,age
age in days,age
age in weeks,age
age at surgery,age
age (weeks of gestation),age
sexual orientation,no
sexual maturity,no
sexual differentiation,no
sexed,no
sex/mating type,no
sex/age,no
sex-chromosome parent-of-origin,no
"sex, 1=m, 2=f",no
sex type,no
sex ratio,no
sex of newborn,no
sex of child,no
sex infant 2,no
sex infant 1,no
sex def prob,no
sex chromosome ploidy,no
sex chromosome complement,no
sex 0-male 1-female,no
sex 0-female 1-male,no
sex (m=male; f=female),no
sex (gender),no
disease state,no
Time (yrs) from PSA recurrence to systemic disease,no
"rfs event (0=no relapse, 1=relapsed at any site or died of disease)",no
disease status,no
disease,no
disease staging,no
disease stage,no
diseased,no
celiac disease,no
disease state time,no
disease group,no
no evidence of disease (ned) or failed,no
disease free interval (months),no
meibomian gland disease state,no
disease severity,no
clinical characteristic/disease status,no
index case disease site,no
disease free survival time (months),no
disease category,no
disease model,no
extent of disease,no
dead of disease,no
malignancy (disease state),no
phenotype (disease state),no
diseasestatus,no
disease type,no
disease state (mesomelic dysplasia kantaputra),no
disease subtype,no
age at disease onset,no
disease phase,no
relapsed at any site or died of disease,no
disease progression,no
affected status (disease state),no
duration of disease,no
hiv disease status,no
disease phenotype,no
disease specific survival years,no
disease specific survival event,no
disease free survival (months),no
pcd disease status,no
patient disease status,no
disease-free survival (dfs),no
disease-free survival (dfs) event,no
donor disease state,no
"8-week disease control (1=yes, 0=no)",no
disease development,no
sle disease activity index (sledai),no
disease progression status,no
disease-free survival time dfs,no
residual disease cm,no
surgical debulking or residual disease cm,no
duration of disease (month),no
disease free survival years,no
disease free survival event,no
etiology of liver disease,no
"8-week disease control 1=yes, 0=no",no
8 week disease control 1yes 0no,no
disease free interval days,no
GEO original disease state,no
disease status of patient,no
trg disease state,no
s disease state,no
disease course,no
disease extension,no
"dfs time disease free survival time, months",no
dss event disease specific survival,no
"dss time disease specific survival time, months",no
dfs event disease free survival,no
residual disease,no
code disease-specific survival,no
disease free survival month,no
disease free survival,no
disease free survival dfs in months from surgery date,no
lung disease,no
advanced disease state,no
disease-resistance,no
no evidence of disease,no
disease relapse event,no
disease progression event,no
disease-free interval months,no
primary disease,no
disease causing mutation,no
disease state phenotype,no
disease state final pathology,no
disease severity/outcome,no
disease duration yrs,no
aggressiveness of disease,no
disease free mo,no
death from disease,no
disease-free survival time,no
host disease,no
host disease outcome,no
host disease stage,no
host disease state,no
disease/status,no
disease/health status,no
disease condition,no
idd related diseases,no
disease state host,no
patient 2 yr disease free survival outcome,no
disease activity,no
clinical status post 1st line chemotherapy cr - complete response; pr - partial response; sd - stable disease; p - progression,no
